Year,Month,Day,USA
1999,10,27,"28,573"
1999,10,28,"32,001"
1999,10,29,"41,164"
1999,10,30,"39,499"
1999,10,31,"14,295"
1999,11,1,"35,694"
1999,11,2,"34,248"
1999,11,3,"34,532"
1999,11,4,"36,348"
1999,11,5,"43,682"
1999,11,6,"41,729"
1999,11,7,"17,821"
1999,11,8,"34,775"
1999,11,9,"34,830"
1999,11,10,"34,478"
1999,11,11,"32,176"
1999,11,12,"48,665"
1999,11,13,"44,865"
1999,11,14,"22,655"
1999,11,15,"34,523"
1999,11,16,"35,202"
1999,11,17,"31,835"
1999,11,18,"36,176"
1999,11,19,"44,824"
1999,11,20,"41,018"
1999,11,21,"15,881"
1999,11,22,"32,309"
1999,11,23,"32,647"
1999,11,24,"43,364"
1999,11,25,"2,576"
1999,11,26,"49,797"
1999,11,27,"34,705"
1999,11,28,"13,980"
1999,11,29,"28,042"
1999,11,30,"30,956"
1999,12,1,"34,860"
1999,12,2,"36,142"
1999,12,3,"46,059"
1999,12,4,"36,373"
1999,12,5,"17,884"
1999,12,6,"37,501"
1999,12,7,"37,944"
1999,12,8,"30,530"
1999,12,9,"41,052"
1999,12,10,"51,818"
1999,12,11,"56,513"
1999,12,12,"21,088"
1999,12,13,"39,984"
1999,12,14,"41,304"
1999,12,15,"44,160"
1999,12,16,"47,188"
1999,12,17,"55,987"
1999,12,18,"58,443"
1999,12,19,"26,328"
1999,12,20,"49,873"
1999,12,21,"47,773"
1999,12,22,"57,265"
1999,12,23,"67,983"
1999,12,24,"48,319"
1999,12,25,0
1999,12,26,"13,428"
1999,12,27,"38,062"
1999,12,28,"36,882"
1999,12,29,"41,352"
1999,12,30,"50,725"
1999,12,31,"40,534"
2000,1,1,"7,386"
2000,1,2,"6,481"
2000,1,3,"27,155"
2000,1,4,"26,427"
2000,1,5,"24,071"
2000,1,6,"24,116"
2000,1,7,"29,819"
2000,1,8,"26,722"
2000,1,9,"9,454"
2000,1,10,"21,618"
2000,1,11,"21,965"
2000,1,12,"20,943"
2000,1,13,"22,116"
2000,1,14,"27,336"
2000,1,15,"25,760"
2000,1,16,"8,607"
2000,1,17,"15,194"
2000,1,18,"21,717"
2000,1,19,"19,631"
2000,1,20,"21,900"
2000,1,21,"26,867"
2000,1,22,"25,803"
2000,1,23,"8,058"
2000,1,24,"20,930"
2000,1,25,"19,425"
2000,1,26,"19,849"
2000,1,27,"22,674"
2000,1,28,"27,761"
2000,1,29,"28,310"
2000,1,30,"7,177"
2000,1,31,"24,700"
2000,2,1,"23,868"
2000,2,2,"29,372"
2000,2,3,"28,705"
2000,2,4,"33,826"
2000,2,5,"33,261"
2000,2,6,"10,630"
2000,2,7,"26,453"
2000,2,8,"24,941"
2000,2,9,"22,986"
2000,2,10,"26,160"
2000,2,11,"31,348"
2000,2,12,"31,895"
2000,2,13,"10,200"
2000,2,14,"24,230"
2000,2,15,"24,804"
2000,2,16,"22,969"
2000,2,17,"25,379"
2000,2,18,"22,826"
2000,2,19,"33,953"
2000,2,20,"9,934"
2000,2,21,"20,000"
2000,2,22,"24,127"
2000,2,23,"23,226"
2000,2,24,"25,116"
2000,2,25,"29,952"
2000,2,26,"29,722"
2000,2,27,"10,671"
2000,2,28,"22,510"
2000,2,29,"24,006"
2000,3,1,"25,963"
2000,3,2,"25,274"
2000,3,3,"33,384"
2000,3,4,"31,745"
2000,3,5,"10,549"
2000,3,6,"24,281"
2000,3,7,"23,144"
2000,3,8,"21,442"
2000,3,9,"22,348"
2000,3,10,"29,396"
2000,3,11,"30,184"
2000,3,12,"10,143"
2000,3,13,"23,761"
2000,3,14,"23,345"
2000,3,15,"21,815"
2000,3,16,"24,574"
2000,3,17,"30,886"
2000,3,18,"31,320"
2000,3,19,"10,780"
2000,3,20,"24,005"
2000,3,21,"24,799"
2000,3,22,"22,503"
2000,3,23,"23,986"
2000,3,24,"29,499"
2000,3,25,"27,503"
2000,3,26,"9,303"
2000,3,27,"22,583"
2000,3,28,"21,272"
2000,3,29,"22,839"
2000,3,30,"23,686"
2000,3,31,"30,231"
2000,4,1,"27,152"
2000,4,2,"8,313"
2000,4,3,"25,843"
2000,4,4,"24,168"
2000,4,5,"22,942"
2000,4,6,"24,232"
2000,4,7,"28,163"
2000,4,8,"26,643"
2000,4,9,"8,274"
2000,4,10,"22,881"
2000,4,11,"23,781"
2000,4,12,"21,685"
2000,4,13,"23,515"
2000,4,14,"28,801"
2000,4,15,"24,332"
2000,4,16,"7,515"
2000,4,17,"19,647"
2000,4,18,"22,587"
2000,4,19,"20,087"
2000,4,20,"23,845"
2000,4,21,"26,315"
2000,4,22,"20,333"
2000,4,23,"2,052"
2000,4,24,"20,266"
2000,4,25,"19,780"
2000,4,26,"18,526"
2000,4,27,"20,088"
2000,4,28,"26,031"
2000,4,29,"21,791"
2000,4,30,"8,101"
2000,5,1,"21,817"
2000,5,2,"20,067"
2000,5,3,"19,601"
2000,5,4,"19,588"
2000,5,5,"24,823"
2000,5,6,"19,524"
2000,5,7,"4,725"
2000,5,8,"21,702"
2000,5,9,"19,253"
2000,5,10,"19,022"
2000,5,11,"6,493"
2000,5,12,5
2000,5,13,2
2000,5,14,"18,288"
2000,5,15,"40,850"
2000,5,16,"24,237"
2000,5,17,"13,947"
2000,5,18,"23,560"
2000,5,19,"24,641"
2000,5,20,"19,744"
2000,5,21,103
2000,5,22,"26,485"
2000,5,23,"19,849"
2000,5,24,"18,519"
2000,5,25,"15,823"
2000,5,26,"25,147"
2000,5,27,"18,864"
2000,5,28,"7,588"
2000,5,29,"4,841"
2000,5,30,"20,566"
2000,5,31,"18,974"
2000,6,1,"21,381"
2000,6,2,"25,406"
2000,6,3,"18,922"
2000,6,4,"6,960"
2000,6,5,"20,824"
2000,6,6,"19,731"
2000,6,7,"17,436"
2000,6,8,"19,453"
2000,6,9,"22,544"
2000,6,10,"19,618"
2000,6,11,"7,342"
2000,6,12,"19,034"
2000,6,13,"18,196"
2000,6,14,"19,355"
2000,6,15,"19,513"
2000,6,16,"26,212"
2000,6,17,"23,146"
2000,6,18,"7,542"
2000,6,19,"18,363"
2000,6,20,"17,456"
2000,6,21,"18,147"
2000,6,22,"17,977"
2000,6,23,"22,897"
2000,6,24,"19,678"
2000,6,25,"6,068"
2000,6,26,"17,016"
2000,6,27,"18,930"
2000,6,28,"17,023"
2000,6,29,"19,425"
2000,6,30,"24,966"
2000,7,1,"19,291"
2000,7,2,"4,552"
2000,7,3,"19,294"
2000,7,4,"2,670"
2000,7,5,"20,188"
2000,7,6,"18,361"
2000,7,7,"22,535"
2000,7,8,"18,980"
2000,7,9,"5,614"
2000,7,10,"18,922"
2000,7,11,"18,327"
2000,7,12,"17,308"
2000,7,13,"18,143"
2000,7,14,"22,783"
2000,7,15,"21,333"
2000,7,16,"7,273"
2000,7,17,"19,471"
2000,7,18,"19,849"
2000,7,19,"16,441"
2000,7,20,"21,990"
2000,7,21,"25,332"
2000,7,22,"20,576"
2000,7,23,"6,396"
2000,7,24,"18,720"
2000,7,25,"22,426"
2000,7,26,"18,933"
2000,7,27,"21,115"
2000,7,28,"25,697"
2000,7,29,"22,039"
2000,7,30,"7,305"
2000,7,31,"20,656"
2000,8,1,"24,084"
2000,8,2,"20,932"
2000,8,3,"22,562"
2000,8,4,"26,970"
2000,8,5,"22,973"
2000,8,6,"7,334"
2000,8,7,"20,818"
2000,8,8,"21,175"
2000,8,9,"20,329"
2000,8,10,"21,199"
2000,8,11,"25,961"
2000,8,12,"23,071"
2000,8,13,"9,665"
2000,8,14,"21,446"
2000,8,15,"22,164"
2000,8,16,"21,606"
2000,8,17,"23,106"
2000,8,18,"30,181"
2000,8,19,"25,870"
2000,8,20,"9,143"
2000,8,21,"23,815"
2000,8,22,"22,907"
2000,8,23,"22,667"
2000,8,24,"21,334"
2000,8,25,"33,555"
2000,8,26,"27,523"
2000,8,27,"9,850"
2000,8,28,"24,396"
2000,8,29,"21,451"
2000,8,30,"25,339"
2000,8,31,"29,075"
2000,9,1,"40,843"
2000,9,2,"29,806"
2000,9,3,"9,109"
2000,9,4,"9,634"
2000,9,5,"25,976"
2000,9,6,"25,044"
2000,9,7,"25,110"
2000,9,8,"33,509"
2000,9,9,"31,582"
2000,9,10,"12,521"
2000,9,11,"25,826"
2000,9,12,"25,755"
2000,9,13,"24,758"
2000,9,14,"27,558"
2000,9,15,"34,728"
2000,9,16,"31,955"
2000,9,17,"10,519"
2000,9,18,"24,973"
2000,9,19,"24,944"
2000,9,20,"25,118"
2000,9,21,"28,481"
2000,9,22,"33,687"
2000,9,23,"33,937"
2000,9,24,"11,895"
2000,9,25,"25,869"
2000,9,26,"25,914"
2000,9,27,"25,208"
2000,9,28,"27,149"
2000,9,29,"38,021"
2000,9,30,"32,658"
2000,10,1,"11,628"
2000,10,2,"26,196"
2000,10,3,"30,372"
2000,10,4,"27,495"
2000,10,5,"29,782"
2000,10,6,"37,575"
2000,10,7,"33,226"
2000,10,8,"13,169"
2000,10,9,"23,577"
2000,10,10,"27,385"
2000,10,11,"25,750"
2000,10,12,"29,861"
2000,10,13,"37,273"
2000,10,14,"34,419"
2000,10,15,"12,186"
2000,10,16,"26,933"
2000,10,17,"26,768"
2000,10,18,"26,660"
2000,10,19,"28,986"
2000,10,20,"36,061"
2000,10,21,"33,821"
2000,10,22,"14,109"
2000,10,23,"28,048"
2000,10,24,"26,679"
2000,10,25,"27,105"
2000,10,26,"30,572"
2000,10,27,"38,320"
2000,10,28,"33,046"
2000,10,29,"12,778"
2000,10,30,"28,758"
2000,10,31,"27,348"
2000,11,1,"31,965"
2000,11,2,"33,612"
2000,11,3,"42,912"
2000,11,4,"39,115"
2000,11,5,"14,895"
2000,11,6,"31,188"
